,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
335,1,NALCS,2016 Summer,TSM,CLG,16.2,56.1,13.0,90.5,14.6,40.3,41.5,20.9,87.0,10.3,5719,120,1489,1255,1329,1526,3,7,2,4,0,0
336,0,NALCS,2016 Summer,CLG,TSM,12.6,20.6,90.5,25.3,90.5,40.3,20.9,41.5,40.3,60.1,-955,-1780,53,-233,646,359,4,7,1,1,0,0
337,1,NALCS,2016 Summer,NV,NRG,56.1,16.2,40.3,27.3,25.3,1.2,20.9,72.7,87.0,11.5,4730,1074,892,484,1565,715,0,0,0,3,0,0
338,1,NALCS,2016 Summer,NRG,NV,16.2,20.6,46.2,90.5,90.5,40.3,16.6,41.5,20.2,87.0,-163,-277,973,-42,-396,-421,3,2,3,2,0,0
339,1,NALCS,2016 Summer,NV,NRG,90.5,16.2,13.0,90.5,25.3,20.9,16.6,41.5,60.1,0.8,1697,971,380,-242,-99,687,1,2,1,2,0,0
340,0,NALCS,2016 Summer,C9,IMT,46.2,20.6,90.5,17.4,56.5,8.3,16.6,50.6,40.3,87.0,-3059,-1031,-822,-12,-570,-624,7,5,3,1,0,0
341,0,NALCS,2016 Summer,IMT,C9,20.6,16.2,17.4,90.5,4.7,4.3,20.9,72.7,19.8,87.0,-1146,234,-30,-96,-1497,243,9,6,1,3,0,0
342,0,NALCS,2016 Summer,C9,IMT,56.1,2.0,46.2,90.5,25.3,40.3,41.5,50.6,87.0,20.2,-1781,-638,-1077,-544,1197,-719,3,1,4,2,0,0
343,1,NALCS,2016 Summer,NV,TL,16.2,20.6,13.0,90.5,23.7,40.3,16.6,41.5,87.0,10.3,483,753,-86,-640,168,288,6,5,0,1,0,0
344,0,NALCS,2016 Summer,TL,NV,20.6,25.3,27.3,13.0,8.3,4.3,20.9,41.5,11.5,20.2,-3026,-1138,-287,-757,-112,-732,6,3,3,2,0,0
345,1,NALCS,2016 Summer,APX,CLG,4.3,20.6,40.3,90.5,23.7,40.3,50.6,16.6,5.9,40.3,517,301,-509,659,-208,274,3,4,3,3,0,0
346,1,NALCS,2016 Summer,CLG,APX,56.1,20.6,25.3,27.3,10.3,4.3,41.5,16.6,87.0,11.5,4097,1429,456,1701,631,-120,3,5,1,3,0,0
347,1,NALCS,2016 Summer,APX,CLG,4.3,20.6,40.3,27.3,14.6,40.3,16.6,20.9,11.5,87.0,-2035,314,-1235,-1006,-345,237,5,9,3,3,0,0
348,1,NALCS,2016 Summer,FOX,C9,12.6,16.2,46.2,90.5,20.2,90.5,41.5,72.7,20.2,87.0,-1648,-376,-1038,-175,-626,567,3,1,2,2,0,0
349,1,NALCS,2016 Summer,C9,FOX,16.2,90.5,90.5,25.3,40.3,20.6,50.6,41.5,40.3,87.0,4574,-240,1988,836,1454,536,1,9,1,3,0,0
350,0,NALCS,2016 Summer,FOX,C9,12.6,16.2,46.2,90.5,23.7,40.3,41.5,50.6,87.0,60.1,-4686,113,-1088,-1811,-1327,-573,3,1,4,2,0,0
351,1,NALCS,2016 Summer,FOX,P1,16.2,56.1,0.4,90.5,23.7,56.5,72.7,20.9,87.0,20.2,-572,-374,-700,1130,-534,-94,2,3,2,2,0,0
352,0,NALCS,2016 Summer,P1,FOX,23.7,12.6,13.0,90.5,4.3,40.3,72.7,41.5,60.1,20.2,-752,-293,-397,-631,734,-165,5,6,3,3,0,0
353,1,NALCS,2016 Summer,APX,NRG,56.1,20.6,25.3,90.5,90.5,56.5,16.6,72.7,60.1,40.3,2902,490,871,287,204,1050,5,5,3,4,0,0
354,0,NALCS,2016 Summer,NRG,APX,90.5,20.6,46.2,1.6,20.9,23.7,50.6,16.6,20.2,60.1,-2217,-1414,-540,-572,57,252,6,3,2,1,0,0
355,1,NALCS,2016 Summer,TSM,TL,20.6,16.2,90.5,13.0,56.5,20.2,72.7,41.5,10.3,19.8,7216,1666,2225,1804,477,1044,2,9,0,3,0,0
356,0,NALCS,2016 Summer,TL,TSM,16.2,23.7,1.6,90.5,40.3,56.5,20.9,41.5,10.3,40.3,-1721,-135,-794,-58,-871,137,7,8,1,0,0,0
357,1,NALCS,2016 Summer,IMT,P1,20.6,56.1,13.0,90.5,40.3,8.3,20.9,72.7,87.0,60.1,-1067,-392,-37,-390,-607,359,6,1,2,2,0,0
358,0,NALCS,2016 Summer,P1,IMT,56.1,2.0,25.3,90.5,56.5,40.3,41.5,50.6,60.1,87.0,-5084,-2172,-1680,-698,384,-918,3,2,4,2,0,0
359,1,NALCS,2016 Summer,NRG,IMT,16.2,42.3,90.5,17.4,90.5,56.5,13.4,72.7,20.2,10.3,-16,-1305,-1302,658,1528,405,5,7,2,3,0,0
360,1,NALCS,2016 Summer,IMT,NRG,42.3,16.2,40.3,13.0,10.3,25.3,72.7,16.6,19.8,20.2,-546,-537,810,1112,-1396,-535,7,9,3,3,0,0
361,0,NALCS,2016 Summer,NRG,IMT,16.2,42.3,46.2,90.5,90.5,20.2,72.7,16.6,87.0,20.2,-3571,-1392,-488,-135,-1091,-465,5,6,2,0,0,0
362,0,NALCS,2016 Summer,APX,NV,47.8,42.3,90.5,25.3,40.3,23.7,16.6,72.7,60.1,87.0,-605,-143,-174,122,-425,15,0,0,4,3,0,0
363,0,NALCS,2016 Summer,NV,APX,42.3,4.7,13.0,90.5,20.6,14.6,72.7,16.6,20.2,40.3,-271,528,594,-115,-1568,290,4,1,3,3,0,0
364,0,NALCS,2016 Summer,APX,NV,21.3,4.3,25.3,27.3,23.7,20.2,16.6,20.9,60.1,87.0,-2042,-472,-191,-1068,-347,36,9,2,3,2,0,0
365,1,NALCS,2016 Summer,TL,CLG,42.3,23.7,90.5,13.0,56.5,90.5,41.5,20.9,60.1,87.0,6605,1957,1482,1931,656,579,0,6,0,3,0,0
366,1,NALCS,2016 Summer,CLG,TL,21.3,16.2,27.3,13.0,23.7,90.5,16.6,41.5,11.5,60.1,7603,1657,1855,1819,1248,1024,1,8,1,4,0,0
367,0,NALCS,2016 Summer,TL,CLG,16.2,4.3,27.3,25.3,56.5,4.7,50.6,16.6,20.2,11.5,-2455,-717,-1369,-989,290,330,6,1,4,4,0,1
368,0,NALCS,2016 Summer,P1,C9,16.2,56.1,40.3,90.5,40.3,56.5,41.5,72.7,87.0,40.3,-4267,-1320,-1035,-1313,-228,-371,3,0,4,2,0,0
369,0,NALCS,2016 Summer,C9,P1,16.2,42.3,27.3,25.3,56.5,4.7,16.6,72.7,87.0,20.2,960,565,702,485,-609,-183,2,2,3,2,0,0
370,0,NALCS,2016 Summer,P1,C9,42.3,16.2,90.5,17.4,56.5,40.3,16.6,72.7,20.2,40.3,-6558,-589,-1271,-1085,-2997,-616,12,1,4,2,0,0
371,1,NALCS,2016 Summer,TSM,IMT,56.1,42.3,90.5,13.0,90.5,20.2,41.5,72.7,10.3,87.0,1475,-236,-652,722,1471,170,2,6,3,4,0,0
372,1,NALCS,2016 Summer,IMT,TSM,42.3,16.2,90.5,13.0,40.3,25.3,50.6,41.5,19.8,60.1,5533,1924,2163,1135,-316,627,3,11,1,4,0,0
373,1,NALCS,2016 Summer,TSM,IMT,23.7,42.3,90.5,17.4,14.6,40.3,41.5,50.6,40.3,87.0,697,195,-211,-783,1967,-471,4,6,2,2,0,0
374,0,NALCS,2016 Summer,FOX,TL,12.6,56.1,25.3,1.2,40.3,14.6,41.5,20.9,20.2,87.0,297,-64,-862,117,590,516,2,6,2,1,0,0
375,1,NALCS,2016 Summer,TL,FOX,42.3,21.3,25.3,46.2,56.5,40.3,4.0,50.6,20.2,11.5,1032,-278,1169,16,-242,367,4,2,2,2,0,0
376,1,NALCS,2016 Summer,NRG,FOX,16.2,4.3,46.2,90.5,40.3,23.7,72.7,50.6,87.0,60.1,679,14,253,-598,866,144,4,3,2,3,0,0
377,0,NALCS,2016 Summer,FOX,NRG,16.2,8.3,13.0,40.3,20.2,1.2,72.7,1.2,60.1,87.0,-1564,-1771,-600,664,-355,498,1,2,2,3,0,0
378,1,NALCS,2016 Summer,TSM,APX,23.7,4.3,90.5,27.3,56.5,14.6,41.5,50.6,40.3,87.0,1895,351,280,836,395,33,2,0,0,1,0,0
379,0,NALCS,2016 Summer,APX,TSM,56.1,4.3,40.3,90.5,14.6,40.3,50.6,41.5,60.1,87.0,-4372,-344,-782,-1491,-1247,-508,12,0,2,2,0,0
380,1,NALCS,2016 Summer,NV,P1,0.8,42.3,40.3,27.3,25.3,40.3,41.5,72.7,87.0,40.3,1756,-612,576,970,583,239,6,5,0,3,0,0
381,0,NALCS,2016 Summer,P1,NV,47.8,42.3,27.3,17.4,90.5,20.2,72.7,20.9,40.3,87.0,-2545,-113,-305,-817,-1319,9,8,6,3,2,0,0
382,0,NALCS,2016 Summer,CLG,C9,23.7,56.1,90.5,46.2,40.3,56.5,41.5,50.6,60.1,5.9,-2570,455,-321,-925,-1184,-595,7,3,1,1,0,0
383,1,NALCS,2016 Summer,C9,CLG,4.3,56.1,90.5,46.2,40.3,25.3,16.6,72.7,10.3,19.8,4830,579,1140,1824,660,627,1,6,1,3,0,0
384,0,NALCS,2016 Summer,C9,TSM,47.8,42.3,90.5,40.3,40.3,14.6,50.6,41.5,40.3,60.1,-4154,-616,-1152,-648,-1072,-666,4,1,4,2,0,0
385,0,NALCS,2016 Summer,TSM,C9,42.3,56.1,40.3,25.3,40.3,56.5,41.5,32.0,60.1,40.3,-5014,-2159,-407,-1182,-629,-637,8,3,6,2,0,0
